time,hours,stage,speed,depth,elevation
0.0,0.0,1.0630282411776735,0.0,0.0,1.0630282411776735
120.0,0.033333333333333333,1.0630282411776735,0.0,0.0,1.0630282411776735
240.0,0.066666666666666666,1.0630282411776735,0.0,0.0,1.0630282411776735
360.0,0.10000000000000001,1.0630282411776735,0.0,0.0,1.0630282411776735
480.0,0.13333333333333333,1.0630282411776735,0.0,0.0,1.0630282411776735
600.0,0.16666666666666666,1.0630282411776735,0.0,0.0,1.0630282411776735
720.0,0.20000000000000001,1.0630282411776735,0.0,0.0,1.0630282411776735
840.0,0.23333333333333334,1.0630282411776735,0.0,0.0,1.0630282411776735
960.0,0.26666666666666666,1.0630282411776735,0.0,0.0,1.0630282411776735
1080.0,0.29999999999999999,1.0630282411776735,0.0,0.0,1.0630282411776735
1200.0,0.33333333333333331,1.0630282411776735,0.0,0.0,1.0630282411776735
1320.0,0.36666666666666664,1.0630282411776735,0.0,0.0,1.0630282411776735
1440.0,0.40000000000000002,1.0630282411776735,0.0,0.0,1.0630282411776735
1560.0,0.43333333333333335,1.0630282411776735,0.0,0.0,1.0630282411776735
1680.0,0.46666666666666667,1.0630282411776735,0.0,0.0,1.0630282411776735
1800.0,0.5,1.0630282411776735,0.0,0.0,1.0630282411776735
1920.0,0.53333333333333333,1.0630282411776735,0.0,0.0,1.0630282411776735
2040.0,0.56666666666666665,1.0630282411776735,0.0,0.0,1.0630282411776735
2160.0,0.59999999999999998,1.0630282411776735,0.0,0.0,1.0630282411776735
2280.0,0.6333333333333333,1.0630282411776735,0.0,0.0,1.0630282411776735
2400.0,0.66666666666666663,1.0630282411776735,0.0,0.0,1.0630282411776735
2520.0,0.69999999999999996,1.0630282411776735,0.0,0.0,1.0630282411776735
2640.0,0.73333333333333328,1.0630282411776735,0.0,0.0,1.0630282411776735
2760.0,0.76666666666666672,1.0630282411776735,0.0,0.0,1.0630282411776735
2880.0,0.80000000000000004,1.0630282411776735,0.0,0.0,1.0630282411776735
3000.0,0.83333333333333337,1.0630282411776735,0.0,0.0,1.0630282411776735
3120.0,0.8666666666666667,1.0630282411776735,0.0,0.0,1.0630282411776735
3240.0,0.90000000000000002,1.0630282411776735,0.0,0.0,1.0630282411776735
3360.0,0.93333333333333335,1.0630282411776735,0.0,0.0,1.0630282411776735
3480.0,0.96666666666666667,1.0630282411776735,0.0,0.0,1.0630282411776735
3600.0,1.0,1.0630282411776735,0.0,0.0,1.0630282411776735
3720.0,1.0333333333333334,1.0630282411776735,0.0,0.0,1.0630282411776735
3840.0,1.0666666666666667,1.0630282411776735,0.0,0.0,1.0630282411776735
3960.0,1.1000000000000001,1.0630282411776735,0.0,0.0,1.0630282411776735
4080.0,1.1333333333333333,1.0630282411776735,0.0,0.0,1.0630282411776735
4200.0,1.1666666666666667,1.0630282411776735,0.0,0.0,1.0630282411776735
4320.0,1.2,1.0630282411776735,0.0,0.0,1.0630282411776735
4440.0,1.2333333333333334,1.0630282411776735,0.0,0.0,1.0630282411776735
4560.0,1.2666666666666666,1.0630282411776735,0.0,0.0,1.0630282411776735
4680.0,1.3,1.0630282411776735,0.0,0.0,1.0630282411776735
4800.0,1.3333333333333333,1.0630282411776735,0.0,0.0,1.0630282411776735
4920.0,1.3666666666666667,1.0630282411776735,0.0,0.0,1.0630282411776735
5000.0,1.3888888888888888,1.0630282411776735,0.0,0.0,1.0630282411776735
5030.0,1.3972222222222221,1.0630282411776735,0.0,0.0,1.0630282411776735
5060.0,1.4055555555555554,1.0630282411776735,0.0,0.0,1.0630282411776735
5090.0,1.413888888888889,1.0630282411776735,0.0,0.0,1.0630282411776735
5120.0,1.4222222222222223,1.0630282411776735,0.0,0.0,1.0630282411776735
5150.0,1.4305555555555556,1.0630282411776735,0.0,0.0,1.0630282411776735
5180.0,1.4388888888888889,1.0630282411776735,0.0,0.0,1.0630282411776735
5210.0,1.4472222222222222,1.0630282411776735,0.0,0.0,1.0630282411776735
5240.0,1.4555555555555555,1.0630282411776735,0.0,0.0,1.0630282411776735
5270.0,1.4638888888888888,1.0630282411776735,0.0,0.0,1.0630282411776735
5300.0,1.4722222222222223,1.0630282411776735,0.0,0.0,1.0630282411776735
5330.0,1.4805555555555556,1.0630282411776735,0.0,0.0,1.0630282411776735
5360.0,1.4888888888888889,1.0630282411776735,0.0,0.0,1.0630282411776735
5390.0,1.4972222222222222,1.0630282411776735,0.0,0.0,1.0630282411776735
5420.0,1.5055555555555555,1.0630282411776735,0.0,0.0,1.0630282411776735
5450.0,1.5138888888888888,1.0630282411776735,0.0,0.0,1.0630282411776735
5480.0,1.5222222222222221,1.0630282411776735,0.0,0.0,1.0630282411776735
5510.0,1.5305555555555554,1.0630282411776735,0.0,0.0,1.0630282411776735
5540.0,1.538888888888889,1.0630282411776735,0.0,0.0,1.0630282411776735
5570.0,1.5472222222222223,1.0630282411776735,0.0,0.0,1.0630282411776735
5600.0,1.5555555555555556,1.0630282411776735,0.0,0.0,1.0630282411776735
5630.0,1.5638888888888889,1.0630282411776735,0.0,0.0,1.0630282411776735
5660.0,1.5722222222222222,1.0630282411776735,0.0,0.0,1.0630282411776735
5690.0,1.5805555555555555,1.0630282411776735,0.0,0.0,1.0630282411776735
5720.0,1.5888888888888888,1.0630282411776735,0.0,0.0,1.0630282411776735
5750.0,1.5972222222222223,1.0630282411776735,0.0,0.0,1.0630282411776735
5780.0,1.6055555555555556,1.0630282411776735,0.0,0.0,1.0630282411776735
5810.0,1.6138888888888889,1.0630282411776735,0.0,0.0,1.0630282411776735
