time,hours,stage,speed,depth,elevation
0.0,0.0,3.3122709947893911,0.0,0.0,3.3122709947893911
120.0,0.033333333333333333,3.3122709947893911,0.0,0.0,3.3122709947893911
240.0,0.066666666666666666,3.3122709947893911,0.0,0.0,3.3122709947893911
360.0,0.10000000000000001,3.3122709947893911,0.0,0.0,3.3122709947893911
480.0,0.13333333333333333,3.3122709947893911,0.0,0.0,3.3122709947893911
600.0,0.16666666666666666,3.3122709947893911,0.0,0.0,3.3122709947893911
720.0,0.20000000000000001,3.3122709947893911,0.0,0.0,3.3122709947893911
840.0,0.23333333333333334,3.3122709947893911,0.0,0.0,3.3122709947893911
960.0,0.26666666666666666,3.3122709947893911,0.0,0.0,3.3122709947893911
1080.0,0.29999999999999999,3.3122709947893911,0.0,0.0,3.3122709947893911
1200.0,0.33333333333333331,3.3122709947893911,0.0,0.0,3.3122709947893911
1320.0,0.36666666666666664,3.3122709947893911,0.0,0.0,3.3122709947893911
1440.0,0.40000000000000002,3.3122709947893911,0.0,0.0,3.3122709947893911
1560.0,0.43333333333333335,3.3122709947893911,0.0,0.0,3.3122709947893911
1680.0,0.46666666666666667,3.3122709947893911,0.0,0.0,3.3122709947893911
1800.0,0.5,3.3122709947893911,0.0,0.0,3.3122709947893911
1920.0,0.53333333333333333,3.3122709947893911,0.0,0.0,3.3122709947893911
2040.0,0.56666666666666665,3.3122709947893911,0.0,0.0,3.3122709947893911
2160.0,0.59999999999999998,3.3122709947893911,0.0,0.0,3.3122709947893911
2280.0,0.6333333333333333,3.3122709947893911,0.0,0.0,3.3122709947893911
2400.0,0.66666666666666663,3.3122709947893911,0.0,0.0,3.3122709947893911
2520.0,0.69999999999999996,3.3122709947893911,0.0,0.0,3.3122709947893911
2640.0,0.73333333333333328,3.3122709947893911,0.0,0.0,3.3122709947893911
2760.0,0.76666666666666672,3.3122709947893911,0.0,0.0,3.3122709947893911
2880.0,0.80000000000000004,3.3122709947893911,0.0,0.0,3.3122709947893911
3000.0,0.83333333333333337,3.3122709947893911,0.0,0.0,3.3122709947893911
3120.0,0.8666666666666667,3.3122709947893911,0.0,0.0,3.3122709947893911
3240.0,0.90000000000000002,3.3122709947893911,0.0,0.0,3.3122709947893911
3360.0,0.93333333333333335,3.3122709947893911,0.0,0.0,3.3122709947893911
3480.0,0.96666666666666667,3.3122709947893911,0.0,0.0,3.3122709947893911
3600.0,1.0,3.3122709947893911,0.0,0.0,3.3122709947893911
3720.0,1.0333333333333334,3.3122709947893911,0.0,0.0,3.3122709947893911
3840.0,1.0666666666666667,3.3122709947893911,0.0,0.0,3.3122709947893911
3960.0,1.1000000000000001,3.3122709947893911,0.0,0.0,3.3122709947893911
4080.0,1.1333333333333333,3.3122709947893911,0.0,0.0,3.3122709947893911
4200.0,1.1666666666666667,3.3122709947893911,0.0,0.0,3.3122709947893911
4320.0,1.2,3.3122709947893911,0.0,0.0,3.3122709947893911
4440.0,1.2333333333333334,3.3122709947893911,0.0,0.0,3.3122709947893911
4560.0,1.2666666666666666,3.3122709947893911,0.0,0.0,3.3122709947893911
4680.0,1.3,3.3122709947893911,0.0,0.0,3.3122709947893911
4800.0,1.3333333333333333,3.3122709947893911,0.0,0.0,3.3122709947893911
4920.0,1.3666666666666667,3.3122709947893911,0.0,0.0,3.3122709947893911
5000.0,1.3888888888888888,3.3122709947893911,0.0,0.0,3.3122709947893911
5030.0,1.3972222222222221,3.3122709947893911,0.0,0.0,3.3122709947893911
5060.0,1.4055555555555554,3.3122709947893911,0.0,0.0,3.3122709947893911
5090.0,1.413888888888889,3.3122709947893911,0.0,0.0,3.3122709947893911
5120.0,1.4222222222222223,3.3122709947893911,0.0,0.0,3.3122709947893911
5150.0,1.4305555555555556,3.3122709947893911,0.0,0.0,3.3122709947893911
5180.0,1.4388888888888889,3.3122709947893911,0.0,0.0,3.3122709947893911
5210.0,1.4472222222222222,3.3122709947893911,0.0,0.0,3.3122709947893911
5240.0,1.4555555555555555,3.3122709947893911,0.0,0.0,3.3122709947893911
5270.0,1.4638888888888888,3.3122709947893911,0.0,0.0,3.3122709947893911
5300.0,1.4722222222222223,3.3122709947893911,0.0,0.0,3.3122709947893911
5330.0,1.4805555555555556,3.3122709947893911,0.0,0.0,3.3122709947893911
5360.0,1.4888888888888889,3.3122709947893911,0.0,0.0,3.3122709947893911
5390.0,1.4972222222222222,3.3122709947893911,0.0,0.0,3.3122709947893911
5420.0,1.5055555555555555,3.3122709947893911,0.0,0.0,3.3122709947893911
5450.0,1.5138888888888888,3.3122709947893911,0.0,0.0,3.3122709947893911
5480.0,1.5222222222222221,3.3122709947893911,0.0,0.0,3.3122709947893911
5510.0,1.5305555555555554,3.3122709947893911,0.0,0.0,3.3122709947893911
5540.0,1.538888888888889,3.3122709947893911,0.0,0.0,3.3122709947893911
5570.0,1.5472222222222223,3.3122709947893911,0.0,0.0,3.3122709947893911
5600.0,1.5555555555555556,3.9100515130133355,29.249440297344492,0.5977805182239444,3.3122709947893911
5630.0,1.5638888888888889,5.2212682092408134,28.365183166199376,1.9089972144514222,3.3122709947893911
5660.0,1.5722222222222222,6.1094150095866704,27.333471871104333,2.7971440147972793,3.3122709947893911
5690.0,1.5805555555555555,6.9414052865423699,25.844090016961189,3.6291342917529787,3.3122709947893911
5720.0,1.5888888888888888,7.6951701575259905,24.182572129579572,4.3828991627365994,3.3122709947893911
5750.0,1.5972222222222223,8.245390770833529,22.537586533644905,4.9331197760441379,3.3122709947893911
